bin,business_line_code,capital_amount,gross_amount,gross_amount_essential,gross_amount_nonessential
0403424-2024-0001038,47113,0,430000,0,430000
0403424-2024-0001060,68110,0,200000,0,200000
0403424-2024-0001061,68110,0,252000,0,252000
0403424-2024-0001063,68110,0,580000,0,580000
0403424-2024-0001076,47113,0,160000,0,160000
0403424-2024-0001083,47610,0,727854,0,727854
0403424-2024-0001103,11053,0,270000,0,270000
0403424-2024-0001107,47721,0,600000,0,600000
0403424-2024-0001171,85592,0,100000,0,100000
0403424-2024-0001201,47711,0,350000,0,350000
0403424-2024-0001204,68110,0,42000,0,42000
0403424-2024-0001207,47713,0,400000,0,400000
0403424-2024-0001211,47750,0,60000,0,60000
0403424-2024-0001232,64930,0,717213.1,0,717213.1
0403424-2024-0001232,64930,0,160809.2,0,160809.2
0403424-2024-0001232,64930,0,41490,0,41490
0403424-2024-0001232,64930,0,2883.22,0,2883.22
0403424-2024-0001244,45204,0,70000,0,70000
0403424-2024-0001315,47113,0,85000,0,85000
0403424-2024-0001316,47113,0,320000,0,320000
0403424-2024-0001322,45209,0,250000,0,250000
0403424-2024-0001347,47113,0,20000,0,20000
0403424-2024-0001350,68110,0,385866.9,0,385866.9
0403424-2024-0001358,68110,0,432000,0,432000
0403424-2024-0001381,47523,0,200000,200000,0
0403424-2024-0001382,31090,0,500000,0,500000
0403424-2024-0001400,79110,0,3057000,0,3057000
0403424-2024-0001417,47113,0,120000,0,120000
0403424-2024-0001431,68110,0,120000,0,120000
0403424-2024-0001439,93292,0,50000,0,50000
0403424-2024-0001440,42900,0,2800000,0,2800000
0403424-2024-0001442,55102,0,50000,0,50000
0403424-2024-0001461,85602,0,60000,0,60000
0403424-2024-0001478,56210,0,70000,0,70000
0403424-2024-0001481,47219,0,220000,0,220000
0403424-2024-0001486,45201,0,275000,0,275000
0403424-2024-0001497,47113,0,130000,0,130000
0403424-2024-0001505,47113,0,145000,0,145000
0403424-2024-0001524,46694,0,150000,0,150000
0403424-2024-0001541,47214,0,400000,0,400000
0403424-2024-0001543,47113,0,260000,0,260000
0403424-2024-0001547,47113,0,430000,0,430000
0403424-2024-0001559,86900,0,150000,0,150000
0403424-2024-0001584,68110,0,180000,0,180000
0403424-2024-0001596,47113,0,90000,0,90000
0403424-2024-0001603,68110,0,60000,0,60000
0403424-2024-0001617,68110,0,72000,0,72000
0403424-2024-0001629,47721,0,270000,230000,40000
0403424-2024-0001684,47113,0,200000,0,200000
0403424-2024-0001692,10711,0,1000000,0,1000000
0403424-2024-0001713,47113,0,120000,0,120000
0403424-2024-0001733,45201,0,160000,0,160000
0403424-2024-0001768,47211,0,500000,500000,0
0403424-2024-0001771,47113,0,180000,0,180000
0403424-2024-0001774,47113,0,175000,0,175000
0403424-2024-0001776,47113,0,400000,0,400000
0403424-2024-0001777,47113,0,510000,0,510000
0403424-2024-0001785,47113,0,240000,0,240000
0403424-2024-0001786,47113,0,350000,0,350000
0403424-2024-0001787,47113,0,520000,0,520000
0403424-2024-0001788,47113,0,275000,0,275000
0403424-2024-0001789,47731,0,9200000,9200000,0
0403424-2024-0001792,45302,0,3200000,0,3200000
0403424-2024-0001876,68110,0,96000,0,96000
0403424-2024-0001877,86124,0,500000,500000,0
0403424-2024-0001879,68110,0,96000,0,96000
0403424-2024-0001882,45102,1000000,59000000,0,59000000
0403424-2024-0001912,68110,0,216000,0,216000
0403424-2024-0001984,47215,0,900000,900000,0
0403424-2024-0001985,47113,0,270000,0,270000
0403424-2024-0001987,43210,0,300000,0,300000
0403424-2024-0001999,68110,0,288000,0,288000
0403424-2024-0002007,47999,0,3154000,0,3154000
0403424-2024-0002010,45304,0,1075353,0,1075353
0403424-2024-0002014,56107,0,420000,0,420000
0403424-2024-0002022,47212,0,400000,400000,0
0403424-2024-0002024,47610,0,700000,0,700000
0403424-2024-0002035,47113,0,900000,0,900000
0403424-2024-0002065,47191,0,950000,0,950000
0403424-2024-0002086,47211,0,1000000,1000000,0
0403424-2024-0002087,47211,0,1000000,1000000,0
0403424-2024-0002088,47211,0,1000000,1000000,0
0403424-2024-0002089,47211,0,1000000,1000000,0
0403424-2024-0002098,85599,0,56500,0,56500
0403424-2024-0002106,47994,0,670000,0,670000
0403424-2024-0002117,47711,0,360000,0,360000
0403424-2024-0002123,63990,0,250000,0,250000
0403424-2024-0002127,56107,0,180000,0,180000
0403424-2024-0002147,47113,0,540000,0,540000
0403424-2024-0002157,86229,0,200000,0,200000
0403424-2024-0002160,68110,0,180000,0,180000
0403424-2024-0002170,46203,0,290000,240000,50000
0403424-2024-0002175,47526,0,850000,0,850000
0403424-2024-0002195,47732,0,120000,0,120000
0403424-2024-0002203,45302,0,596452,0,596452
0403424-2024-0002214,45304,0,1325193,0,1325193
0403424-2024-0002218,45304,0,586751,0,586751
0403424-2024-0002247,47215,0,1000000,0,1000000
0403424-2024-0002248,47215,0,1000000,0,1000000
0403424-2024-0002262,47113,0,150000,0,150000
0403424-2024-0002270,96105,0,200000,0,200000
0403424-2024-0002273,47592,0,450000,0,450000
0403424-2024-0002274,47592,0,150000,0,150000
0403424-2024-0002313,47113,0,350000,0,350000
0403424-2024-0002316,47711,0,350000,0,350000
0403424-2024-0002317,47711,0,350000,0,350000
0403424-2024-0002319,46492,0,750000,0,750000
0403424-2024-0002330,46203,0,300000,0,300000
0403424-2024-0002338,13130,0,300000,0,300000
0403424-2024-0002345,47113,0,350000,0,350000
0403424-2024-0002394,68110,0,165000,0,165000
0403424-2024-0002395,68110,0,131600,0,131600
0403424-2024-0002458,47214,0,1500000,0,1500000
0403424-2024-0002468,47114,0,600000,0,600000
0403424-2024-0002513,46421,0,1.08E+08,45879037,61923596
0403424-2024-0002530,68110,0,1033200,0,1033200
0403424-2024-0002592,68110,0,600000,0,600000
0403424-2024-0002593,68110,0,360000,0,360000
0403424-2024-0002640,80100,0,5800000,0,5800000
0403424-2024-0002641,96105,0,75000,0,75000
0403424-2024-0002670,47213,0,4600000,4600000,0
0403424-2024-0002679,47522,0,480000,0,480000
0403424-2024-0002687,47721,0,1.32E+08,1.29E+08,2688668
0403424-2024-0002695,47113,0,260000,0,260000
0403424-2024-0002704,47113,0,90000,0,90000
0403424-2024-0002711,68110,0,240000,0,240000
0403424-2024-0002717,68190,0,567000,0,567000
0403424-2024-0002739,68110,0,396000,0,396000
0403424-2024-0002777,68110,0,348000,0,348000
0403424-2024-0002782,47721,0,1.51E+08,1.48E+08,3073820
0403424-2024-0002842,45302,0,2700000,0,2700000
0403424-2024-0002848,46429,0,470000,400000,70000
0403424-2024-0002849,47113,0,160000,0,160000
0403424-2024-0002994,68110,0,250000,0,250000
0403424-2024-0003086,18110,0,300000,0,300000
0403424-2024-0003101,47213,0,800000,800000,0
0403424-2024-0003109,45109,0,107283,0,107283
0403424-2024-0003128,47113,0,1110000,850000,260000
0403424-2024-0003131,47113,0,140000,0,140000
0403424-2024-0003144,47414,0,400000,0,400000
0403424-2024-0003146,47414,0,90000,0,90000
0403424-2024-0003149,68110,0,240000,0,240000
0403424-2024-0003150,47734,0,1500000,0,1500000
0403424-2024-0003151,47112,0,1.46E+08,1.40E+08,6169603
0403424-2024-0003152,68110,0,306000,0,306000
0403424-2024-0003156,47414,0,550000,0,550000
0403424-2024-0003279,56303,0,59885571,0,59885571
0403424-2024-0003305,14220,0,300000,0,300000
0403424-2024-0003366,68200,0,240000,0,240000
0403424-2024-0003415,85593,0,50000,0,50000
0403424-2024-0003459,47411,0,129610,0,129610
0403424-2024-0003460,47113,0,85000,0,85000
0403424-2024-0003637,47216,0,500000,500000,0
0403424-2024-0003825,47735,0,800000,0,800000
0403424-2024-0003870,68110,0,480000,0,480000
0403424-2024-0003982,47113,0,150000,0,150000
0403424-2024-0004024,18129,0,750000,0,750000
0403424-2024-0004213,47714,0,14040526,4725910,9314615
0403424-2024-0004213,47714,0,5930255,4725910,1204345
0403424-2024-0004213,47714,0,5058574,4725910,332663.7
0403424-2024-0004214,56101,0,1.49E+08,1.47E+08,2001205
0403424-2024-0004296,68110,0,120000,0,120000
0403424-2024-0004355,10308,0,1.10E+09,1.04E+09,58170651
0403424-2024-0004399,47113,0,75000,0,75000
0403424-2024-0004547,47113,0,60000,0,60000
0403424-2024-0004599,68110,0,216000,0,216000
0403424-2024-0004601,68110,0,96000,0,96000
0403424-2024-0004617,68110,0,234000,0,234000
0403424-2024-0004747,47994,0,300000,0,300000
0403424-2024-0004826,47721,0,705000,520000,185000
0403424-2024-0004867,47113,0,165000,0,165000
0403424-2024-0005125,47199,0,0,0,0
0403424-2024-0005156,47113,0,260000,0,260000
0403424-2024-0005358,56290,0,270000,0,270000
0403424-2024-0005506,47113,0,180000,0,180000
0403424-2024-0005557,47592,0,400000,0,400000
0403424-2024-0005573,47113,0,160000,0,160000
0403424-2024-0005586,68110,0,72000,0,72000
0403424-2024-0005587,68110,0,90000,0,90000
0403424-2024-0005628,56107,0,125000,0,125000
0403424-2024-0005722,45309,0,75000,0,75000
0403424-2024-0005724,68110,0,210000,0,210000
0403424-2024-0005741,64930,0,17830.75,0,17830.75
0403424-2024-0005817,47721,0,400000,400000,0
0403424-2024-0005845,47591,0,100000,0,100000
0403424-2024-0005859,47211,0,550000,550000,0
0403424-2024-0006393,68110,0,240000,0,240000
0403424-2024-0006466,68110,0,360000,0,360000
0403424-2024-0007199,47591,10000,150000,0,150000
0403424-2024-0007210,47114,0,5000000,0,5000000
0403424-2024-0007264,68110,0,180000,0,180000
0403424-2024-0007477,47893,0,250000,0,250000
0403424-2024-0007528,68110,0,144000,0,144000
0403424-2024-0007963,45302,0,225000,0,225000
0403424-2024-0007978,68110,0,384000,0,384000
0403424-2024-0008204,56107,0,40000,0,40000
0403424-2024-0008328,77291,0,50000,0,50000
0403424-2024-0008652,77291,0,80000,0,80000
0403424-2024-0008936,47113,0,20000,0,20000
0403424-2024-0009108,55102,0,20000,0,20000
0403424-2024-0009206,47113,0,50000,0,50000
0403424-2025-0009229,68120,500000,0,0,0
0403424-2024-0009588,47521,0,45872,0,45872
0403424-2024-0009589,45302,0,25505,0,25505
0403424-2024-0009589,45304,0,0,0,0
0403424-2024-0009590,45302,0,47645,0,47645
0403424-2024-0009590,45304,0,0,0,0
0403424-2024-0009758,47113,0,50000,0,50000
0403424-2024-0009767,68110,0,144000,0,144000
0403424-2024-0009809,46900,0,150000,0,150000
0403424-2024-0009848,47113,0,50000,0,50000
0403424-2024-0009849,87901,0,150000,0,150000
0403424-2024-0009874,47113,0,50000,0,50000
0403424-2024-0009886,47113,0,50000,0,50000
0403424-2024-0009925,47113,0,150000,0,150000
0403424-2024-0009929,74209,0,0,0,0
0403424-2024-0009950,68110,0,17761.18,0,17761.18
0403424-2024-0009981,45403,0,60000,0,60000
0403424-2024-0009929,18110,,,,
0403424-2024-0010028,74101,0,0,0,0
0403424-2024-0010098,85592,0,0,0,0
0403424-2024-0010247,47211,0,30000,0,30000
0403424-2024-0010366,47215,0,350000,0,350000
0403424-2024-0010375,47999,0,23000,0,23000
0403424-2024-0010389,56102,0,50000,0,50000
0403424-2024-0010410,68110,0,252000,0,252000
0403424-2024-0010490,47711,0,50000,0,50000
0403424-2024-0010527,68110,0,0,0,0
0403424-2024-0010726,68110,0,857380,0,857380
0403424-2024-0010775,56303,0,40000,0,40000
0403424-2024-0002513,46421,0,1.08E+08,45879037,61923596
0403424-2024-0002687,47721,0,1.32E+08,1.29E+08,2688668
0403424-2024-0002782,47721,0,1.51E+08,1.48E+08,3073820
0403424-2024-0003151,47112,0,1.46E+08,1.40E+08,6169603
0403424-2024-0004214,56101,0,1.49E+08,1.47E+08,2001205
0403424-2024-0004355,10308,0,1.10E+09,1.04E+09,58170651
0403424-2024-0009929,18110,0,0,0,0